country,gender,age_group,year,unemployment_rate
Austria,Female,15-24,2016,10.38
Austria,Female,25+,2016,4.91
Austria,Male,15+,2015,6.18
Austria,Male,15-24,2015,11.58
Austria,Male,25+,2015,5.39
Austria,Female,15+,2015,5.37
Austria,Female,15-24,2015,10.18
Austria,Female,25+,2015,4.67
Austria,Male,15+,2014,5.89
Austria,Male,15-24,2014,10.91
Austria,Male,25+,2014,5.15
Austria,Female,15+,2014,5.43
Austria,Female,15-24,2014,10.08
Austria,Female,25+,2014,4.72
Austria,Male,15+,2013,5.4
Austria,Male,15-24,2013,9.51
Austria,Male,25+,2013,4.78
Austria,Female,15+,2013,5.33
Austria,Female,15-24,2013,10.07
Austria,Female,25+,2013,4.59
Azerbaijan,Male,15+,2022,4.81
Azerbaijan,Male,15-24,2022,12.1
Azerbaijan,Male,25+,2022,3.8
Azerbaijan,Female,15+,2022,6.54
Azerbaijan,Female,15-24,2022,15.25
Azerbaijan,Female,25+,2022,5.45
Azerbaijan,Male,15+,2021,5.15
Azerbaijan,Male,15-24,2021,12.87
Azerbaijan,Male,25+,2021,4.06
Azerbaijan,Female,15+,2021,7.0
Azerbaijan,Female,15-24,2021,16.59
Azerbaijan,Female,25+,2021,5.82
Azerbaijan,Male,15+,2020,6.13
Azerbaijan,Male,15-24,2020,12.98
Azerbaijan,Male,25+,2020,5.18
Azerbaijan,Female,15+,2020,8.44
Azerbaijan,Female,15-24,2020,17.96
Azerbaijan,Female,25+,2020,7.28
Azerbaijan,Male,15+,2019,4.29
Azerbaijan,Male,15-24,2019,10.36
Azerbaijan,Male,25+,2019,3.45
Azerbaijan,Female,15+,2019,5.78
Azerbaijan,Female,15-24,2019,12.92
Azerbaijan,Female,25+,2019,4.88
Azerbaijan,Male,15+,2018,4.1
Azerbaijan,Female,15+,2018,5.8
Azerbaijan,Male,15+,2017,4.1
Azerbaijan,Female,15+,2017,5.9
Azerbaijan,Male,15+,2016,4.2
Azerbaijan,Female,15+,2016,6.0
Azerbaijan,Male,15+,2015,4.09
Azerbaijan,Male,15-24,2015,11.39
Azerbaijan,Male,25+,2015,3.04
Azerbaijan,Female,15+,2015,5.87
Azerbaijan,Female,15-24,2015,15.78
Azerbaijan,Female,25+,2015,4.6
Azerbaijan,Male,15+,2014,4.02
Azerbaijan,Male,15-24,2014,11.48
Azerbaijan,Male,25+,2014,2.94
Azerbaijan,Female,15+,2014,5.84
